,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
112,112,0.936062398027827,2020-06-20 19:20:33.872805,2020-06-20 19:45:21.552730,0.19575015029560158,15,90,COMPLETE
113,113,0.9356365236038544,2020-06-20 19:45:21.560998,2020-06-20 20:08:34.397169,0.19503461445308173,14,91,COMPLETE
114,114,0.9347404523699637,2020-06-20 20:08:34.405467,2020-06-20 20:29:56.115254,0.18808429197245874,15,77,COMPLETE
115,115,0.9356797315295342,2020-06-20 20:29:56.123831,2020-06-20 20:52:41.982264,0.19257079839161423,14,89,COMPLETE
116,116,0.93494253865464,2020-06-20 20:52:42.530359,2020-06-20 21:16:23.412099,0.19673191026155806,15,86,COMPLETE
117,117,0.9340431842810502,2020-06-20 21:16:23.423635,2020-06-20 21:37:40.645934,0.18429991157072184,14,83,COMPLETE
118,118,0.933588732987444,2020-06-20 21:37:40.654641,2020-06-20 21:59:29.706711,0.17642086247364513,13,92,COMPLETE
119,119,0.9342375371151036,2020-06-20 21:59:29.715412,2020-06-20 22:18:39.743207,0.1880872813727519,12,88,COMPLETE
120,120,0.9367370004045943,2020-06-20 22:18:39.751841,2020-06-20 22:43:02.463913,0.1809160608962119,14,95,COMPLETE
121,121,0.9355702885194553,2020-06-20 22:43:02.472859,2020-06-20 23:07:19.824229,0.17996791032915613,14,95,COMPLETE
122,122,0.9320351226670601,2020-06-20 23:07:19.832979,2020-06-20 23:30:17.109244,0.19347810455496522,14,90,COMPLETE
123,123,0.9337416022971737,2020-06-20 23:30:17.118068,2020-06-20 23:53:59.598052,0.1977293512208583,14,93,COMPLETE
124,124,0.9359309218371035,2020-06-20 23:53:59.606926,2020-06-21 00:17:42.128588,0.1826250305766093,15,86,COMPLETE
125,125,0.9343394273978459,2020-06-21 00:17:42.137596,2020-06-21 00:41:39.628489,0.1862003849738467,15,87,COMPLETE
126,126,0.9360563061470539,2020-06-21 00:41:39.637485,2020-06-21 01:05:28.844350,0.18210580920859554,15,86,COMPLETE
127,127,0.9340250968921545,2020-06-21 01:05:28.853529,2020-06-21 01:28:57.096228,0.18160433348940028,15,85,COMPLETE
128,128,0.9350693762810176,2020-06-21 01:28:57.366378,2020-06-21 01:51:55.422520,0.19062503244530993,15,83,COMPLETE
129,129,0.9336190643789809,2020-06-21 01:51:55.434206,2020-06-21 02:16:44.160795,0.17501994954852576,15,90,COMPLETE
130,130,0.9327603200338315,2020-06-21 02:16:44.170111,2020-06-21 02:40:32.802303,0.18332397196949513,16,80,COMPLETE
131,131,0.935347004899333,2020-06-21 02:40:32.812477,2020-06-21 03:02:49.308313,0.18881567394797233,14,87,COMPLETE
132,132,0.931636251314103,2020-06-21 03:02:49.318424,2020-06-21 03:24:35.321931,0.17802454632621306,14,85,COMPLETE
133,133,0.9344872590459723,2020-06-21 03:24:35.331503,2020-06-21 03:49:52.521025,0.19990683043024698,15,92,COMPLETE
134,134,0.9358044757778462,2020-06-21 03:49:52.530725,2020-06-21 04:11:06.622644,0.194893141217452,13,90,COMPLETE
135,135,0.9346965441415497,2020-06-21 04:11:06.632914,2020-06-21 04:34:49.354550,0.1855689866333171,15,86,COMPLETE
