,number,value,datetime_start,datetime_complete,params_learning_rate,params_max_depth,params_n_estimators,state
106,106,0.9413051734895961,2020-06-20 14:09:15.834023,2020-06-20 14:33:02.026049,0.16444713817177098,15,94,COMPLETE
107,107,0.9420647319965385,2020-06-20 14:33:02.033834,2020-06-20 14:57:45.215594,0.18029736999272347,16,91,COMPLETE
108,108,0.9436088556661006,2020-06-20 14:57:45.223420,2020-06-20 15:22:00.442404,0.15704383746369277,15,96,COMPLETE
109,109,0.9430899918989597,2020-06-20 15:22:00.450733,2020-06-20 15:45:39.097102,0.15707860783641533,15,93,COMPLETE
110,110,0.9415134497904907,2020-06-20 15:45:39.113784,2020-06-20 16:08:18.617265,0.14249675357462,15,89,COMPLETE
111,111,0.9414511960035042,2020-06-20 16:08:18.625861,2020-06-20 16:30:56.639301,0.15193576206071208,14,96,COMPLETE
112,112,0.943906300521979,2020-06-20 16:30:56.648910,2020-06-20 16:53:56.323642,0.16917493421080873,14,98,COMPLETE
113,113,0.943636919195597,2020-06-20 16:53:56.331995,2020-06-20 17:18:40.889492,0.1685412003860559,15,98,COMPLETE
114,114,0.9442316661234388,2020-06-20 17:18:40.897721,2020-06-20 17:43:33.160146,0.16817140356084867,15,98,COMPLETE
115,115,0.9437788593875686,2020-06-20 17:43:33.168460,2020-06-20 18:08:36.168428,0.166284731153652,15,99,COMPLETE
116,116,0.9331276401232665,2020-06-20 18:08:36.177361,2020-06-20 18:17:33.747499,0.16884057805597227,16,31,COMPLETE
117,117,0.941622971543555,2020-06-20 18:17:33.755862,2020-06-20 18:42:42.154064,0.1649234124936493,15,99,COMPLETE
118,118,0.9429959881613963,2020-06-20 18:42:42.162449,2020-06-20 19:09:19.871796,0.17284492450663236,16,98,COMPLETE
119,119,0.9440587807629568,2020-06-20 19:09:19.880282,2020-06-20 19:32:53.608583,0.1758434248958345,15,93,COMPLETE
120,120,0.9439087343387138,2020-06-20 19:32:53.617172,2020-06-20 19:56:28.849987,0.16782102064386037,15,93,COMPLETE
121,121,0.9434310896917932,2020-06-20 19:56:28.858588,2020-06-20 20:20:03.365238,0.1669185374664554,15,93,COMPLETE
122,122,0.9438684822550097,2020-06-20 20:20:03.373970,2020-06-20 20:43:51.637653,0.16303416497023324,15,94,COMPLETE
123,123,0.9411718522539545,2020-06-20 20:43:51.663776,2020-06-20 21:06:54.506048,0.16312244233796255,15,91,COMPLETE
124,124,0.9436669297784812,2020-06-20 21:06:54.516630,2020-06-20 21:30:58.274005,0.16047243426623636,15,95,COMPLETE
125,125,0.9413882607478321,2020-06-20 21:30:58.283056,2020-06-20 21:58:17.255830,0.15761782661991403,16,100,COMPLETE
126,126,0.9416761650421103,2020-06-20 21:58:17.264743,2020-06-20 22:22:13.559121,0.1692296140973747,15,94,COMPLETE
127,127,0.9427660541366514,2020-06-20 22:22:13.569011,2020-06-20 22:46:28.730476,0.1772514266160829,15,96,COMPLETE
128,128,0.9393862095919898,2020-06-20 22:46:28.739629,2020-06-20 23:09:36.580914,0.16040408386186347,15,91,COMPLETE
129,129,0.9404028051068354,2020-06-20 23:09:36.590069,2020-06-20 23:36:20.599438,0.16620237065703297,16,98,COMPLETE
130,130,0.9430085791066375,2020-06-20 23:36:20.608820,2020-06-20 23:58:59.367870,0.16923059789550624,15,89,COMPLETE
131,131,0.9420325861451054,2020-06-20 23:58:59.378420,2020-06-21 00:22:56.427176,0.1547158102801244,15,94,COMPLETE
132,132,0.9404196146677503,2020-06-21 00:22:56.436614,2020-06-21 00:46:33.461165,0.16282860995987622,15,93,COMPLETE
133,133,0.9432829189289805,2020-06-21 00:46:33.471102,2020-06-21 01:10:53.910487,0.17625567785045299,15,96,COMPLETE
134,134,0.941459866881258,2020-06-21 01:10:54.579663,2020-06-21 01:36:09.876710,0.15889462659913905,15,100,COMPLETE
135,135,0.9410764271674177,2020-06-21 01:36:09.886962,2020-06-21 02:01:56.411385,0.1717852790030197,16,95,COMPLETE
136,136,0.9441766943161227,2020-06-21 02:01:56.422616,2020-06-21 02:25:13.735712,0.16494324078453318,15,92,COMPLETE
137,137,0.9407354851388554,2020-06-21 02:25:13.746089,2020-06-21 02:42:09.027203,0.16502028374442101,15,66,COMPLETE
138,138,0.9401535952535512,2020-06-21 02:42:09.037023,2020-06-21 03:05:29.410520,0.16728373855299164,15,92,COMPLETE
139,139,0.9393011428294763,2020-06-21 03:05:29.420389,2020-06-21 03:29:13.916765,0.17594473955222503,16,87,COMPLETE
140,140,0.9413037781013347,2020-06-21 03:29:13.926738,2020-06-21 03:54:05.360772,0.16223596982475258,15,98,COMPLETE
141,141,0.9418830719154553,2020-06-21 03:54:05.371927,2020-06-21 04:18:01.547555,0.15662906044882025,15,94,COMPLETE
142,142,0.9426511065948127,2020-06-21 04:18:01.557665,2020-06-21 04:42:40.007066,0.15128533482551618,15,97,COMPLETE
143,143,0.9416340892183994,2020-06-21 04:42:40.017765,2020-06-21 05:05:29.529924,0.16985402248437767,15,90,COMPLETE
144,144,0.9435103347646774,2020-06-21 05:05:29.540750,2020-06-21 05:30:36.812505,0.15940130559877486,15,99,COMPLETE
145,145,0.9408913013313043,2020-06-21 05:30:36.822623,2020-06-21 05:52:17.081902,0.17206330794780925,14,92,COMPLETE
146,146,0.9419470520897789,2020-06-21 05:52:17.092276,2020-06-21 06:16:22.149508,0.16347554419308408,15,95,COMPLETE
147,147,0.9420521086004072,2020-06-21 06:16:22.179722,2020-06-21 06:39:08.356313,0.14517391010787034,14,97,COMPLETE
148,148,0.9417227450493246,2020-06-21 06:39:08.367748,2020-06-21 07:06:20.436128,0.15318886385284092,16,100,COMPLETE
